Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x02_Male","FFC_Male_1x02-1MP_P0.50m",148.476780,-80.196400,180.000000,top
"J1","Conn_01x02_Male","FFC_Male_1x02-1MP_P0.50m",128.611820,-139.285000,0.000000,top
"J1","Conn_01x02_Male","FFC_Male_1x02-1MP_P0.50m",135.344980,-80.145600,180.000000,top
"J1","Conn_01x02_Male","FFC_Male_1x02-1MP_P0.50m",142.099220,-139.488200,0.000000,top
"LED1","LB_T64G-V1CA-59-Z","LEDM3528X210N",125.813820,-80.970120,90.000000,top
"LED1","LB_T64G-V1CA-59-Z","LEDM3528X210N",151.274780,-138.511280,270.000000,top
"LED1","LB_T64G-V1CA-59-Z","LEDM3528X210N",138.142980,-138.460480,270.000000,top
"LED1","LB_T64G-V1CA-59-Z","LEDM3528X210N",139.301220,-81.173320,90.000000,top
"LED2","LB_T64G-V1CA-59-Z","LEDM3528X210N",142.109190,-81.178400,90.000000,top
"LED2","LB_T64G-V1CA-59-Z","LEDM3528X210N",128.621790,-80.975200,90.000000,top
"LED2","LB_T64G-V1CA-59-Z","LEDM3528X210N",135.335010,-138.455400,270.000000,top
"LED2","LB_T64G-V1CA-59-Z","LEDM3528X210N",148.466810,-138.506200,270.000000,top
"LED3","LB_T64G-V1CA-59-Z","LEDM3528X210N",132.524500,-138.460480,270.000000,top
"LED3","LB_T64G-V1CA-59-Z","LEDM3528X210N",144.919700,-81.173320,90.000000,top
"LED3","LB_T64G-V1CA-59-Z","LEDM3528X210N",145.656300,-138.511280,270.000000,top
"LED3","LB_T64G-V1CA-59-Z","LEDM3528X210N",131.432300,-80.970120,90.000000,top
"LED4","LB_T64G-V1CA-59-Z","LEDM3528X210N",139.298680,-84.800440,270.000000,top
"LED4","LB_T64G-V1CA-59-Z","LEDM3528X210N",125.811280,-84.597240,270.000000,top
"LED4","LB_T64G-V1CA-59-Z","LEDM3528X210N",138.145520,-134.833360,90.000000,top
"LED4","LB_T64G-V1CA-59-Z","LEDM3528X210N",151.277320,-134.884160,90.000000,top
"LED5","LB_T64G-V1CA-59-Z","LEDM3528X210N",142.105380,-84.802980,270.000000,top
"LED5","LB_T64G-V1CA-59-Z","LEDM3528X210N",128.617980,-84.599780,270.000000,top
"LED5","LB_T64G-V1CA-59-Z","LEDM3528X210N",135.338820,-134.830820,90.000000,top
"LED5","LB_T64G-V1CA-59-Z","LEDM3528X210N",148.470620,-134.881620,90.000000,top
"LED6","LB_T64G-V1CA-59-Z","LEDM3528X210N",131.429760,-84.594700,270.000000,top
"LED6","LB_T64G-V1CA-59-Z","LEDM3528X210N",132.527040,-134.835900,90.000000,top
"LED6","LB_T64G-V1CA-59-Z","LEDM3528X210N",144.917160,-84.797900,270.000000,top
"LED6","LB_T64G-V1CA-59-Z","LEDM3528X210N",145.658840,-134.886700,90.000000,top
