Ref,Val,Package,PosX,PosY,Rot,Side
"J1"," ","FFC_Male_1x02-1MP_P0.50m",114.177000,-78.672400,180.000000,top
"J1"," ","FFC_Male_1x02-1MP_P0.50m",140.487400,-104.597200,0.000000,top
"J1"," ","FFC_Male_1x02-1MP_P0.50m",162.280600,-127.228600,0.000000,top
"J1"," ","FFC_Male_1x02-1MP_P0.50m",134.920800,-104.639400,0.000000,top
"LED1","LB_T64G-V1CA-59-Z","LEDM3528X210N",158.338520,-123.690380,180.000000,top
"LED1","LB_T64G-V1CA-59-Z","LEDM3528X210N",132.024120,-65.016380,180.000000,top
"LED1","LB_T64G-V1CA-59-Z","LEDM3528X210N",140.837920,-64.965580,180.000000,top
"LED1","LB_T64G-V1CA-59-Z","LEDM3528X210N",117.073680,-118.295420,0.000000,top
"LED2","LB_T64G-V1CA-59-Z","LEDM3528X210N",158.343600,-120.882410,180.000000,top
"LED2","LB_T64G-V1CA-59-Z","LEDM3528X210N",132.029200,-62.208410,180.000000,top
"LED2","LB_T64G-V1CA-59-Z","LEDM3528X210N",140.843000,-62.157610,180.000000,top
"LED2","LB_T64G-V1CA-59-Z","LEDM3528X210N",117.068600,-121.103390,0.000000,top
"LED3","LB_T64G-V1CA-59-Z","LEDM3528X210N",132.024120,-59.397900,180.000000,top
"LED3","LB_T64G-V1CA-59-Z","LEDM3528X210N",117.073680,-123.913900,0.000000,top
"LED3","LB_T64G-V1CA-59-Z","LEDM3528X210N",140.837920,-59.347100,180.000000,top
"LED3","LB_T64G-V1CA-59-Z","LEDM3528X210N",158.338520,-118.071900,180.000000,top
"LED4","LB_T64G-V1CA-59-Z","LEDM3528X210N",135.651240,-65.018920,0.000000,top
"LED4","LB_T64G-V1CA-59-Z","LEDM3528X210N",144.465040,-64.968120,0.000000,top
"LED4","LB_T64G-V1CA-59-Z","LEDM3528X210N",113.446560,-118.292880,180.000000,top
"LED4","LB_T64G-V1CA-59-Z","LEDM3528X210N",161.965640,-123.692920,0.000000,top
"LED5","LB_T64G-V1CA-59-Z","LEDM3528X210N",144.467580,-62.161420,0.000000,top
"LED5","LB_T64G-V1CA-59-Z","LEDM3528X210N",135.653780,-62.212220,0.000000,top
"LED5","LB_T64G-V1CA-59-Z","LEDM3528X210N",113.444020,-121.099580,180.000000,top
"LED5","LB_T64G-V1CA-59-Z","LEDM3528X210N",161.968180,-120.886220,0.000000,top
"LED6","LB_T64G-V1CA-59-Z","LEDM3528X210N",135.648700,-59.400440,0.000000,top
"LED6","LB_T64G-V1CA-59-Z","LEDM3528X210N",113.449100,-123.911360,180.000000,top
"LED6","LB_T64G-V1CA-59-Z","LEDM3528X210N",144.462500,-59.349640,0.000000,top
"LED6","LB_T64G-V1CA-59-Z","LEDM3528X210N",161.963100,-118.074440,0.000000,top
